reportID,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
0,4/6/2020 0:00,2,8,5,-1,3,0,2
1,4/6/2020 0:00,6,3,10,10,9,-1,3
2,4/6/2020 0:00,10,2,9,-1,10,-1,4
3,4/6/2020 0:00,8,1,10,-1,3,1,4
4,4/6/2020 0:00,9,7,5,-1,4,-1,8
5,4/6/2020 0:00,6,2,9,-1,4,1,15
6,4/6/2020 0:00,2,4,1,-1,4,-1,17
7,4/6/2020 0:00,9,7,4,-1,8,0,18
8,4/6/2020 0:05,10,10,3,-1,10,0,2
9,4/6/2020 0:05,6,2,0,7,9,-1,5
10,4/6/2020 0:05,10,3,8,4,1,-1,6
11,4/6/2020 0:05,2,3,3,-1,10,0,8
12,4/6/2020 0:05,4,2,7,-1,5,-1,8
13,4/6/2020 0:05,6,4,9,-1,0,-1,8
14,4/6/2020 0:05,2,9,1,-1,4,-1,8
15,4/6/2020 0:05,4,10,0,-1,8,-1,8
16,4/6/2020 0:05,10,1,4,-1,3,-1,13
17,4/6/2020 0:05,10,4,1,-1,1,-1,14
18,4/6/2020 0:05,7,9,10,-1,3,-1,15
19,4/6/2020 0:05,4,3,8,-1,10,-1,19
20,4/6/2020 0:10,1,7,1,-1,2,-1,2
21,4/6/2020 0:10,5,9,10,7,0,1,3
22,4/6/2020 0:10,2,2,10,-1,10,-1,4
23,4/6/2020 0:10,10,8,8,-1,5,0,4
24,4/6/2020 0:10,3,4,3,9,4,-1,5
25,4/6/2020 0:10,1,5,4,8,9,-1,6
26,4/6/2020 0:10,1,9,0,9,8,1,6
27,4/6/2020 0:10,0,7,0,3,10,-1,6
28,4/6/2020 0:10,0,2,10,-1,5,0,12
29,4/6/2020 0:10,2,6,1,-1,3,-1,18
30,4/6/2020 0:10,8,10,1,-1,3,1,19
31,4/6/2020 0:15,4,7,5,0,9,-1,3
32,4/6/2020 0:15,8,3,1,7,10,-1,6
33,4/6/2020 0:15,3,10,9,-1,10,-1,8
34,4/6/2020 0:15,7,0,10,-1,4,-1,8
35,4/6/2020 0:15,9,10,9,-1,6,-1,8
36,4/6/2020 0:15,9,0,3,-1,4,-1,8
37,4/6/2020 0:15,10,4,7,-1,2,-1,12
38,4/6/2020 0:20,0,7,10,10,1,-1,3
39,4/6/2020 0:20,10,3,10,9,0,-1,6
40,4/6/2020 0:20,0,5,4,-1,8,-1,15
41,4/6/2020 0:20,7,5,4,3,9,-1,16
42,4/6/2020 0:25,3,3,5,4,4,-1,3
43,4/6/2020 0:25,5,3,9,4,2,-1,3
44,4/6/2020 0:25,1,5,4,1,8,-1,6
45,4/6/2020 0:25,3,10,2,-1,3,-1,8
46,4/6/2020 0:25,0,4,9,-1,3,-1,8
47,4/6/2020 0:25,9,0,5,-1,3,-1,15
48,4/6/2020 0:25,6,4,0,-1,3,-1,15
49,4/6/2020 0:25,2,0,7,-1,9,-1,17
50,4/6/2020 0:30,10,3,6,-1,3,-1,4
51,4/6/2020 0:30,2,4,4,-1,3,-1,18
52,4/6/2020 0:30,9,10,6,-1,0,1,19
53,4/6/2020 0:35,2,10,3,5,5,-1,1
54,4/6/2020 0:35,1,8,2,-1,10,1,2
55,4/6/2020 0:35,8,5,7,-1,2,-1,2
56,4/6/2020 0:35,5,9,7,4,2,-1,3
57,4/6/2020 0:35,10,0,10,8,3,-1,3
58,4/6/2020 0:35,8,9,1,6,7,-1,9
59,4/6/2020 0:35,2,0,3,-1,4,-1,17
60,4/6/2020 0:40,5,4,2,-1,3,-1,2
61,4/6/2020 0:40,7,8,1,-1,2,1,2
62,4/6/2020 0:40,10,2,10,6,1,-1,3
63,4/6/2020 0:40,10,2,0,6,5,-1,3
64,4/6/2020 0:40,0,8,4,7,6,-1,5
65,4/6/2020 0:40,5,1,7,1,8,-1,5
66,4/6/2020 0:40,10,7,0,8,5,0,6
67,4/6/2020 0:40,10,3,5,2,9,-1,6
68,4/6/2020 0:40,4,5,7,-1,3,1,19
69,4/6/2020 0:45,10,6,1,-1,5,-1,2
70,4/6/2020 0:45,9,8,2,-1,8,-1,2
71,4/6/2020 0:45,10,4,8,1,0,-1,6
72,4/6/2020 0:45,0,7,6,-1,0,-1,8
73,4/6/2020 0:45,4,4,8,2,5,-1,9
74,4/6/2020 0:50,8,10,10,-1,0,0,2
75,4/6/2020 0:50,0,4,3,10,3,-1,3
76,4/6/2020 0:50,9,1,2,5,1,-1,5
77,4/6/2020 0:50,7,0,9,3,9,-1,9
78,4/6/2020 0:50,2,3,0,-1,9,-1,14
79,4/6/2020 0:50,4,2,10,-1,3,-1,14
80,4/6/2020 0:50,9,7,1,-1,9,-1,15
81,4/6/2020 0:50,9,0,9,-1,9,1,19
82,4/6/2020 0:55,8,4,7,-1,6,-1,2
83,4/6/2020 0:55,9,0,1,-1,5,-1,4
84,4/6/2020 0:55,7,5,5,7,3,1,6
85,4/6/2020 0:55,7,8,4,-1,1,-1,14
86,4/6/2020 0:55,0,5,8,-1,10,-1,15
87,4/6/2020 0:55,10,4,6,-1,3,-1,15
88,4/6/2020 0:55,10,7,7,-1,0,-1,15
89,4/6/2020 0:55,10,5,10,-1,4,0,15
90,4/6/2020 0:55,6,2,2,0,1,-1,19
91,4/6/2020 1:00,0,3,5,2,7,0,3
92,4/6/2020 1:00,1,6,4,0,10,-1,6
93,4/6/2020 1:00,10,10,10,7,2,-1,6
94,4/6/2020 1:00,7,10,4,8,7,-1,9
95,4/6/2020 1:00,10,4,4,1,1,-1,9
96,4/6/2020 1:00,10,10,10,-1,10,-1,12
97,4/6/2020 1:00,8,7,0,-1,0,0,14
98,4/6/2020 1:00,10,5,10,-1,7,-1,14
99,4/6/2020 1:00,10,3,5,-1,0,-1,15
100,4/6/2020 1:05,10,9,3,-1,9,1,2
101,4/6/2020 1:05,3,0,1,-1,7,-1,2
102,4/6/2020 1:05,7,2,3,6,10,-1,6
103,4/6/2020 1:05,7,9,10,0,1,-1,9
104,4/6/2020 1:05,5,10,7,10,5,-1,11
105,4/6/2020 1:05,0,10,4,-1,9,-1,12
106,4/6/2020 1:05,0,5,0,-1,2,-1,15
107,4/6/2020 1:10,0,8,8,10,8,-1,3
108,4/6/2020 1:10,1,3,2,0,3,-1,3
109,4/6/2020 1:10,9,1,8,10,7,0,6
110,4/6/2020 1:10,5,9,2,4,2,-1,6
111,4/6/2020 1:10,10,6,7,-1,10,-1,8
112,4/6/2020 1:10,1,6,4,10,6,-1,9
113,4/6/2020 1:10,7,3,9,-1,8,-1,13
114,4/6/2020 1:10,10,2,9,10,6,-1,16
115,4/6/2020 1:10,10,6,1,6,8,-1,16
116,4/6/2020 1:15,10,2,10,-1,8,-1,2
117,4/6/2020 1:15,6,10,3,2,4,-1,3
118,4/6/2020 1:15,2,6,4,6,7,-1,6
119,4/6/2020 1:15,6,0,2,8,2,-1,6
120,4/6/2020 1:15,5,8,7,2,0,-1,6
121,4/6/2020 1:15,5,5,0,-1,10,-1,8
122,4/6/2020 1:15,9,2,0,-1,9,-1,8
123,4/6/2020 1:15,1,1,10,-1,2,-1,8
124,4/6/2020 1:15,10,3,7,-1,2,-1,8
125,4/6/2020 1:15,8,9,1,3,1,-1,9
126,4/6/2020 1:15,2,8,10,-1,1,-1,13
127,4/6/2020 1:15,8,9,4,-1,10,-1,13
128,4/6/2020 1:15,4,10,5,-1,10,-1,14
129,4/6/2020 1:15,1,5,9,-1,10,0,18
130,4/6/2020 1:20,10,7,6,7,3,-1,1
131,4/6/2020 1:20,10,3,0,-1,3,-1,2
132,4/6/2020 1:20,6,4,8,9,10,-1,3
