reportID,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
0,2020-04-06 00:00:00,2,8,5,-1,3,0,2
1,2020-04-06 00:00:00,6,3,10,10,9,-1,3
2,2020-04-06 00:00:00,10,2,9,-1,10,-1,4
3,2020-04-06 00:00:00,8,1,10,-1,3,1,4
4,2020-04-06 00:00:00,9,7,5,-1,4,-1,8
5,2020-04-06 00:00:00,6,2,9,-1,4,1,15
6,2020-04-06 00:00:00,2,4,1,-1,4,-1,17
7,2020-04-06 00:00:00,9,7,4,-1,8,0,18
8,2020-04-06 00:05:00,10,10,3,-1,10,0,2
9,2020-04-06 00:05:00,6,2,0,7,9,-1,5
10,2020-04-06 00:05:00,10,3,8,4,1,-1,6
11,2020-04-06 00:05:00,2,3,3,-1,10,0,8
12,2020-04-06 00:05:00,4,2,7,-1,5,-1,8
13,2020-04-06 00:05:00,6,4,9,-1,0,-1,8
14,2020-04-06 00:05:00,2,9,1,-1,4,-1,8
15,2020-04-06 00:05:00,4,10,0,-1,8,-1,8
16,2020-04-06 00:05:00,10,1,4,-1,3,-1,13
17,2020-04-06 00:05:00,10,4,1,-1,1,-1,14
18,2020-04-06 00:05:00,7,9,10,-1,3,-1,15
19,2020-04-06 00:05:00,4,3,8,-1,10,-1,19
20,2020-04-06 00:10:00,1,7,1,-1,2,-1,2
21,2020-04-06 00:10:00,5,9,10,7,0,1,3
22,2020-04-06 00:10:00,2,2,10,-1,10,-1,4
23,2020-04-06 00:10:00,10,8,8,-1,5,0,4
24,2020-04-06 00:10:00,3,4,3,9,4,-1,5
25,2020-04-06 00:10:00,1,5,4,8,9,-1,6
26,2020-04-06 00:10:00,1,9,0,9,8,1,6
27,2020-04-06 00:10:00,0,7,0,3,10,-1,6
28,2020-04-06 00:10:00,0,2,10,-1,5,0,12
29,2020-04-06 00:10:00,2,6,1,-1,3,-1,18
30,2020-04-06 00:10:00,8,10,1,-1,3,1,19
31,2020-04-06 00:15:00,4,7,5,0,9,-1,3
32,2020-04-06 00:15:00,8,3,1,7,10,-1,6
33,2020-04-06 00:15:00,3,10,9,-1,10,-1,8
34,2020-04-06 00:15:00,7,0,10,-1,4,-1,8
35,2020-04-06 00:15:00,9,10,9,-1,6,-1,8
36,2020-04-06 00:15:00,9,0,3,-1,4,-1,8
37,2020-04-06 00:15:00,10,4,7,-1,2,-1,12
38,2020-04-06 00:20:00,0,7,10,10,1,-1,3
39,2020-04-06 00:20:00,10,3,10,9,0,-1,6
40,2020-04-06 00:20:00,0,5,4,-1,8,-1,15
41,2020-04-06 00:20:00,7,5,4,3,9,-1,16
42,2020-04-06 00:25:00,3,3,5,4,4,-1,3
43,2020-04-06 00:25:00,5,3,9,4,2,-1,3
44,2020-04-06 00:25:00,1,5,4,1,8,-1,6
45,2020-04-06 00:25:00,3,10,2,-1,3,-1,8
46,2020-04-06 00:25:00,0,4,9,-1,3,-1,8
47,2020-04-06 00:25:00,9,0,5,-1,3,-1,15
48,2020-04-06 00:25:00,6,4,0,-1,3,-1,15
49,2020-04-06 00:25:00,2,0,7,-1,9,-1,17
50,2020-04-06 00:30:00,10,3,6,-1,3,-1,4
51,2020-04-06 00:30:00,2,4,4,-1,3,-1,18
52,2020-04-06 00:30:00,9,10,6,-1,0,1,19
53,2020-04-06 00:35:00,2,10,3,5,5,-1,1
54,2020-04-06 00:35:00,1,8,2,-1,10,1,2
55,2020-04-06 00:35:00,8,5,7,-1,2,-1,2
56,2020-04-06 00:35:00,5,9,7,4,2,-1,3
57,2020-04-06 00:35:00,10,0,10,8,3,-1,3
58,2020-04-06 00:35:00,8,9,1,6,7,-1,9
59,2020-04-06 00:35:00,2,0,3,-1,4,-1,17
60,2020-04-06 00:40:00,5,4,2,-1,3,-1,2
61,2020-04-06 00:40:00,7,8,1,-1,2,1,2
62,2020-04-06 00:40:00,10,2,10,6,1,-1,3
63,2020-04-06 00:40:00,10,2,0,6,5,-1,3
64,2020-04-06 00:40:00,0,8,4,7,6,-1,5
65,2020-04-06 00:40:00,5,1,7,1,8,-1,5
66,2020-04-06 00:40:00,10,7,0,8,5,0,6
67,2020-04-06 00:40:00,10,3,5,2,9,-1,6
68,2020-04-06 00:40:00,4,5,7,-1,3,1,19
69,2020-04-06 00:45:00,10,6,1,-1,5,-1,2
70,2020-04-06 00:45:00,9,8,2,-1,8,-1,2
71,2020-04-06 00:45:00,10,4,8,1,0,-1,6
72,2020-04-06 00:45:00,0,7,6,-1,0,-1,8
73,2020-04-06 00:45:00,4,4,8,2,5,-1,9
74,2020-04-06 00:50:00,8,10,10,-1,0,0,2
75,2020-04-06 00:50:00,0,4,3,10,3,-1,3
76,2020-04-06 00:50:00,9,1,2,5,1,-1,5
77,2020-04-06 00:50:00,7,0,9,3,9,-1,9
78,2020-04-06 00:50:00,2,3,0,-1,9,-1,14
79,2020-04-06 00:50:00,4,2,10,-1,3,-1,14
80,2020-04-06 00:50:00,9,7,1,-1,9,-1,15
81,2020-04-06 00:50:00,9,0,9,-1,9,1,19
82,2020-04-06 00:55:00,8,4,7,-1,6,-1,2
83,2020-04-06 00:55:00,9,0,1,-1,5,-1,4
84,2020-04-06 00:55:00,7,5,5,7,3,1,6
85,2020-04-06 00:55:00,7,8,4,-1,1,-1,14
86,2020-04-06 00:55:00,0,5,8,-1,10,-1,15
87,2020-04-06 00:55:00,10,4,6,-1,3,-1,15
88,2020-04-06 00:55:00,10,7,7,-1,0,-1,15
89,2020-04-06 00:55:00,10,5,10,-1,4,0,15
90,2020-04-06 00:55:00,6,2,2,0,1,-1,19
91,2020-04-06 01:00:00,0,3,5,2,7,0,3
92,2020-04-06 01:00:00,1,6,4,0,10,-1,6
93,2020-04-06 01:00:00,10,10,10,7,2,-1,6
94,2020-04-06 01:00:00,7,10,4,8,7,-1,9
95,2020-04-06 01:00:00,10,4,4,1,1,-1,9
96,2020-04-06 01:00:00,10,10,10,-1,10,-1,12
97,2020-04-06 01:00:00,8,7,0,-1,0,0,14
98,2020-04-06 01:00:00,10,5,10,-1,7,-1,14
99,2020-04-06 01:00:00,10,3,5,-1,0,-1,15
100,2020-04-06 01:05:00,10,9,3,-1,9,1,2
101,2020-04-06 01:05:00,3,0,1,-1,7,-1,2
102,2020-04-06 01:05:00,7,2,3,6,10,-1,6
103,2020-04-06 01:05:00,7,9,10,0,1,-1,9
104,2020-04-06 01:05:00,5,10,7,10,5,-1,11
105,2020-04-06 01:05:00,0,10,4,-1,9,-1,12
106,2020-04-06 01:05:00,0,5,0,-1,2,-1,15
107,2020-04-06 01:10:00,0,8,8,10,8,-1,3
108,2020-04-06 01:10:00,1,3,2,0,3,-1,3
109,2020-04-06 01:10:00,9,1,8,10,7,0,6
110,2020-04-06 01:10:00,5,9,2,4,2,-1,6
111,2020-04-06 01:10:00,10,6,7,-1,10,-1,8
112,2020-04-06 01:10:00,1,6,4,10,6,-1,9
113,2020-04-06 01:10:00,7,3,9,-1,8,-1,13
114,2020-04-06 01:10:00,10,2,9,10,6,-1,16
115,2020-04-06 01:10:00,10,6,1,6,8,-1,16
116,2020-04-06 01:15:00,10,2,10,-1,8,-1,2
117,2020-04-06 01:15:00,6,10,3,2,4,-1,3
118,2020-04-06 01:15:00,2,6,4,6,7,-1,6
119,2020-04-06 01:15:00,6,0,2,8,2,-1,6
120,2020-04-06 01:15:00,5,8,7,2,0,-1,6
121,2020-04-06 01:15:00,5,5,0,-1,10,-1,8
122,2020-04-06 01:15:00,9,2,0,-1,9,-1,8
123,2020-04-06 01:15:00,1,1,10,-1,2,-1,8
124,2020-04-06 01:15:00,10,3,7,-1,2,-1,8
125,2020-04-06 01:15:00,8,9,1,3,1,-1,9
126,2020-04-06 01:15:00,2,8,10,-1,1,-1,13
127,2020-04-06 01:15:00,8,9,4,-1,10,-1,13
128,2020-04-06 01:15:00,4,10,5,-1,10,-1,14
129,2020-04-06 01:15:00,1,5,9,-1,10,0,18
130,2020-04-06 01:20:00,10,7,6,7,3,-1,1
131,2020-04-06 01:20:00,10,3,0,-1,3,-1,2
132,2020-04-06 01:20:00,6,4,8,9,10,-1,3
133,2020-04-06 01:20:00,0,7,2,2,4,-1,9
134,2020-04-06 01:20:00,10,0,7,6,6,-1,11
135,2020-04-06 01:20:00,4,9,10,-1,6,1,15
136,2020-04-06 01:25:00,5,0,6,3,6,1,1
137,2020-04-06 01:25:00,6,2,7,3,8,-1,9
138,2020-04-06 01:25:00,10,5,2,-1,4,-1,12
139,2020-04-06 01:25:00,7,10,2,-1,1,-1,14
140,2020-04-06 01:25:00,2,5,10,-1,4,-1,14
141,2020-04-06 01:25:00,4,10,10,-1,10,-1,18
142,2020-04-06 01:30:00,5,10,7,6,5,-1,3
143,2020-04-06 01:30:00,2,1,2,8,7,0,6
144,2020-04-06 01:30:00,10,4,2,6,7,-1,11
145,2020-04-06 01:30:00,8,7,1,-1,2,-1,19
146,2020-04-06 01:35:00,9,10,2,4,0,-1,1
147,2020-04-06 01:35:00,2,3,5,4,10,-1,5
148,2020-04-06 01:35:00,6,3,10,7,2,-1,6
149,2020-04-06 01:35:00,2,9,10,10,4,-1,11
150,2020-04-06 01:35:00,1,10,7,-1,3,-1,12
151,2020-04-06 01:35:00,2,10,7,-1,8,-1,18
152,2020-04-06 01:40:00,5,3,6,-1,4,-1,2
153,2020-04-06 01:40:00,0,3,0,10,8,-1,3
154,2020-04-06 01:40:00,2,6,10,3,3,-1,3
155,2020-04-06 01:40:00,1,7,7,-1,7,-1,10
156,2020-04-06 01:40:00,6,9,3,-1,8,1,15
157,2020-04-06 01:40:00,5,9,7,-1,4,-1,15
158,2020-04-06 01:45:00,1,3,2,-1,7,-1,2
159,2020-04-06 01:45:00,8,1,6,-1,4,1,2
160,2020-04-06 01:45:00,10,0,5,1,5,-1,3
161,2020-04-06 01:45:00,3,0,10,6,6,-1,3
162,2020-04-06 01:45:00,8,8,10,-1,10,-1,8
163,2020-04-06 01:50:00,6,3,9,-1,0,1,2
164,2020-04-06 01:50:00,9,0,2,3,9,-1,3
165,2020-04-06 01:50:00,9,5,10,4,9,-1,3
166,2020-04-06 01:50:00,9,7,0,5,5,-1,5
167,2020-04-06 01:50:00,8,5,6,-1,4,1,8
168,2020-04-06 01:50:00,5,7,8,-1,9,-1,8
169,2020-04-06 01:50:00,4,0,8,-1,9,-1,8
170,2020-04-06 01:50:00,4,1,6,7,10,-1,9
171,2020-04-06 01:50:00,8,7,3,-1,8,-1,19
172,2020-04-06 01:55:00,4,1,7,-1,4,-1,2
173,2020-04-06 01:55:00,2,3,1,-1,10,-1,8
174,2020-04-06 01:55:00,10,6,0,-1,10,-1,8
175,2020-04-06 01:55:00,10,2,1,9,9,-1,9
176,2020-04-06 01:55:00,10,7,8,3,10,-1,9
177,2020-04-06 01:55:00,1,0,3,4,1,-1,9
178,2020-04-06 01:55:00,0,9,10,5,10,-1,9
179,2020-04-06 01:55:00,7,5,6,-1,6,-1,15
180,2020-04-06 01:55:00,7,6,2,-1,1,-1,15
181,2020-04-06 01:55:00,10,1,6,-1,0,-1,18
182,2020-04-06 02:00:00,6,1,0,10,10,-1,1
183,2020-04-06 02:00:00,10,2,9,-1,1,-1,19
184,2020-04-06 02:05:00,0,9,5,-1,10,-1,2
185,2020-04-06 02:05:00,3,8,6,-1,0,-1,2
186,2020-04-06 02:05:00,10,8,8,-1,0,-1,4
187,2020-04-06 02:05:00,9,10,5,10,1,-1,9
188,2020-04-06 02:05:00,9,2,10,2,3,-1,11
189,2020-04-06 02:05:00,6,8,8,4,8,-1,11
190,2020-04-06 02:05:00,1,5,1,-1,0,-1,14
191,2020-04-06 02:05:00,7,4,9,-1,8,-1,15
192,2020-04-06 02:05:00,4,9,9,-1,10,-1,15
193,2020-04-06 02:10:00,6,9,5,-1,5,-1,2
194,2020-04-06 02:10:00,10,0,2,0,6,-1,3
195,2020-04-06 02:10:00,3,4,0,2,10,-1,6
196,2020-04-06 02:10:00,10,1,10,-1,9,-1,8
197,2020-04-06 02:10:00,8,4,6,-1,10,-1,8
198,2020-04-06 02:10:00,0,3,9,-1,9,-1,15
199,2020-04-06 02:15:00,3,9,8,9,9,-1,1
200,2020-04-06 02:15:00,9,9,1,6,2,-1,1
201,2020-04-06 02:15:00,8,5,3,9,4,-1,6
202,2020-04-06 02:15:00,10,9,10,4,3,-1,6
203,2020-04-06 02:15:00,7,8,10,-1,6,-1,8
204,2020-04-06 02:15:00,8,10,4,-1,6,-1,10
205,2020-04-06 02:15:00,9,7,10,-1,0,-1,13
206,2020-04-06 02:15:00,4,0,0,-1,10,-1,15
207,2020-04-06 02:15:00,10,10,5,-1,0,-1,18
208,2020-04-06 02:20:00,3,0,10,10,6,-1,1
209,2020-04-06 02:20:00,2,4,4,-1,2,0,2
210,2020-04-06 02:20:00,5,1,1,3,2,-1,3
211,2020-04-06 02:20:00,2,6,6,10,1,0,3
212,2020-04-06 02:20:00,7,10,10,4,10,-1,6
213,2020-04-06 02:20:00,8,5,5,2,10,-1,6
214,2020-04-06 02:20:00,10,10,0,2,10,-1,9
215,2020-04-06 02:20:00,6,10,10,-1,1,0,12
216,2020-04-06 02:25:00,0,8,2,8,10,-1,1
217,2020-04-06 02:25:00,8,10,5,7,4,-1,1
218,2020-04-06 02:25:00,4,10,10,5,3,-1,3
219,2020-04-06 02:25:00,10,10,8,-1,10,-1,4
220,2020-04-06 02:25:00,5,0,10,-1,7,-1,10
221,2020-04-06 02:25:00,10,7,7,9,9,1,11
222,2020-04-06 02:25:00,8,10,10,-1,2,-1,14
223,2020-04-06 02:25:00,9,6,9,-1,0,-1,19
