time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
4/8/2020 17:50,10,6,10,3,8,-1,1
4/9/2020 13:50,2,10,0,8,4,0,1
4/9/2020 0:20,7,10,10,9,10,0,1
4/8/2020 17:25,1,1,2,10,7,-1,1
4/8/2020 2:50,9,7,1,6,9,-1,1
4/9/2020 5:30,2,7,3,10,10,-1,1
4/8/2020 4:30,2,10,1,2,8,-1,1
4/10/2020 11:00,5,0,4,10,8,-1,1
4/10/2020 19:40,10,7,7,1,3,0,1
4/7/2020 22:00,6,6,5,7,2,-1,1
4/9/2020 23:00,4,0,6,7,5,0,1
4/8/2020 15:30,2,4,9,6,6,-1,1
4/8/2020 20:10,2,2,2,7,4,-1,1
4/10/2020 15:05,1,7,5,10,5,1,1
4/6/2020 8:30,0,5,10,5,7,-1,1
4/6/2020 10:25,9,2,2,9,10,-1,1
4/6/2020 2:25,0,8,2,8,10,-1,1
4/10/2020 3:55,2,10,1,8,9,-1,1
4/9/2020 21:25,8,5,3,1,0,-1,1
4/10/2020 8:25,3,6,8,10,3,-1,1
4/10/2020 21:25,10,6,3,4,5,-1,1
4/9/2020 23:55,0,4,0,6,5,-1,1
4/8/2020 7:25,10,1,7,4,7,-1,1
4/9/2020 21:40,10,5,3,2,8,1,1
4/6/2020 14:10,8,10,8,7,0,-1,1
4/9/2020 4:45,8,4,2,8,10,-1,1
4/6/2020 17:10,1,5,4,5,10,-1,1
4/10/2020 17:20,0,5,3,7,2,-1,1
4/8/2020 14:35,5,6,1,9,6,0,1
4/8/2020 1:45,8,3,6,9,5,0,1
4/7/2020 7:45,2,8,10,6,1,-1,1
4/9/2020 20:55,3,1,10,9,10,-1,1
4/8/2020 6:45,5,4,5,9,5,-1,1
4/8/2020 20:15,10,2,10,3,1,-1,1
4/6/2020 2:15,3,9,8,9,9,-1,1
4/9/2020 2:05,8,7,10,10,2,-1,1
4/9/2020 1:25,6,4,4,3,3,1,1
4/9/2020 2:00,4,1,3,10,0,-1,1
4/10/2020 17:15,6,8,6,7,3,-1,1
4/9/2020 9:50,3,2,5,2,0,-1,1
4/7/2020 19:10,6,3,3,8,1,-1,1
4/8/2020 4:25,2,3,7,1,10,-1,1
4/9/2020 11:45,6,10,8,3,2,-1,1
4/6/2020 7:15,5,4,8,2,2,-1,1
4/9/2020 8:00,10,1,10,1,3,-1,1
4/9/2020 8:30,5,10,3,7,4,-1,1
4/7/2020 1:15,9,6,7,10,10,-1,1
4/6/2020 15:30,4,2,8,10,5,-1,1
4/7/2020 13:50,6,5,5,8,8,-1,1
4/7/2020 19:40,5,4,7,10,5,-1,1
4/8/2020 20:25,10,10,2,10,1,-1,1
4/8/2020 4:40,1,10,7,7,6,-1,1
4/10/2020 22:35,3,9,8,5,1,1,1
4/6/2020 12:15,3,1,0,7,9,-1,1
4/7/2020 1:05,10,5,7,10,6,-1,1
4/6/2020 19:20,8,9,4,7,1,-1,1
4/9/2020 6:20,9,4,8,1,5,-1,1
4/7/2020 6:25,5,5,4,5,6,-1,1
4/8/2020 7:55,5,7,4,6,2,-1,1
4/7/2020 5:20,6,4,10,10,2,-1,1
4/6/2020 19:05,0,4,0,5,10,0,1
4/6/2020 13:15,9,2,4,8,9,-1,1
4/9/2020 6:45,7,10,10,10,2,-1,1
4/6/2020 16:35,5,2,8,8,8,0,1
4/6/2020 23:35,1,1,0,1,6,-1,1
4/7/2020 20:15,5,3,0,5,3,0,1
4/10/2020 2:30,6,0,4,2,4,-1,1
4/6/2020 11:40,10,10,7,9,10,-1,1
4/10/2020 4:35,10,1,3,5,1,1,1
4/6/2020 11:30,10,9,7,1,6,1,1
4/10/2020 21:10,6,1,7,8,6,-1,1
4/8/2020 8:15,8,6,2,1,8,0,1
4/10/2020 21:15,7,9,10,10,8,-1,1
4/9/2020 0:35,5,8,2,7,8,-1,1
4/9/2020 16:45,10,6,1,10,5,-1,1
4/6/2020 4:40,10,3,7,8,2,-1,1
4/7/2020 9:55,3,0,10,5,2,-1,1
4/6/2020 14:25,10,7,0,0,5,-1,1
4/7/2020 11:30,2,10,7,1,9,-1,1
4/6/2020 14:15,9,3,5,9,5,1,1
4/7/2020 14:10,10,10,9,5,4,-1,1
4/8/2020 1:45,9,10,7,1,10,-1,1
4/6/2020 7:40,3,2,1,4,10,-1,1
4/9/2020 11:05,2,5,1,10,1,-1,1
4/8/2020 20:00,5,9,2,9,10,-1,1
4/7/2020 7:50,10,7,4,8,10,-1,1
4/8/2020 14:45,4,3,1,2,1,-1,1
4/6/2020 11:15,1,4,4,8,8,0,1
4/8/2020 21:05,5,7,5,3,8,-1,1
4/10/2020 15:30,8,6,8,3,3,-1,1
4/7/2020 14:15,3,7,2,10,0,-1,1
4/9/2020 8:05,5,3,1,7,10,-1,1
4/6/2020 15:50,8,6,6,4,9,-1,1
4/9/2020 14:00,4,9,3,8,2,-1,1
4/7/2020 10:45,10,3,0,3,9,-1,1
4/6/2020 22:00,1,7,3,3,3,-1,1
4/8/2020 22:25,7,1,9,1,6,-1,1
4/6/2020 2:25,8,10,5,7,4,-1,1
4/10/2020 3:30,1,3,1,5,7,-1,1
4/6/2020 0:35,2,10,3,5,5,-1,1
4/9/2020 9:20,1,7,7,7,5,-1,1
4/7/2020 8:25,1,8,1,10,3,-1,1
4/9/2020 16:15,7,10,1,7,8,-1,1
4/10/2020 19:30,5,8,7,3,10,-1,1
4/7/2020 5:50,10,4,9,10,7,-1,1
4/8/2020 21:10,0,5,4,2,10,-1,1
4/8/2020 23:05,4,3,2,1,1,-1,1
4/8/2020 20:40,1,6,10,10,10,-1,1
4/7/2020 2:45,1,9,0,2,7,-1,1
4/10/2020 18:20,6,6,10,10,5,-1,1
4/8/2020 5:40,6,10,3,9,10,-1,1
4/10/2020 5:35,0,2,2,5,4,-1,1
4/9/2020 11:55,2,9,4,8,10,0,1
4/7/2020 11:40,3,3,0,8,0,-1,1
4/10/2020 1:40,7,5,0,8,5,-1,1
4/7/2020 23:35,9,7,10,2,10,1,1
4/10/2020 9:45,2,10,9,2,10,0,1
4/8/2020 21:45,10,9,10,10,10,-1,1
4/10/2020 9:50,4,10,3,10,7,-1,1
4/9/2020 11:05,9,0,8,10,10,-1,1
4/9/2020 15:00,0,10,3,8,8,-1,1
4/8/2020 12:10,6,7,0,4,10,-1,1
4/10/2020 18:45,9,10,4,1,1,-1,1
4/9/2020 5:15,2,1,4,1,6,-1,1
4/8/2020 2:50,4,2,0,10,10,-1,1
4/9/2020 0:45,7,5,2,0,10,-1,1
4/6/2020 2:20,3,0,10,10,6,-1,1
4/7/2020 12:10,0,5,5,10,9,-1,1
4/9/2020 7:15,5,8,5,2,0,-1,1
4/7/2020 10:50,4,9,8,10,2,1,1
4/9/2020 2:10,0,8,2,1,8,-1,1
4/8/2020 3:25,2,2,7,7,6,-1,1
4/6/2020 16:15,3,10,10,0,6,-1,1
4/7/2020 11:50,1,5,3,10,10,-1,1
4/8/2020 20:25,7,3,6,2,10,-1,1
4/8/2020 22:55,10,1,1,9,3,-1,1
4/8/2020 20:55,1,7,0,10,4,-1,1
4/9/2020 6:25,3,3,2,3,4,-1,1
4/9/2020 6:15,10,10,2,4,4,1,1
4/8/2020 3:45,4,8,5,9,1,-1,1
4/10/2020 11:35,10,5,5,10,4,-1,1
4/7/2020 20:05,1,10,1,10,10,-1,1
4/8/2020 4:20,7,5,10,3,3,0,1
